"id","borough","location","name","open_year_round","created_at","updated_at","latitude","longitude"
1077,"Queens","Rockaway Beach Boulevard, B109-B110 streets","Seaside Playground (PS 225)","Yes","2018-07-03 15:40:36.538964","2018-07-03 15:40:36.538964",40.5805469,-73.8374249
1078,"Brooklyn","Avenue P, Bay Parkway, West 12 Street","Seth Low Playground","Yes","2018-07-03 15:40:37.357866","2018-07-03 15:40:37.357866",40.6096878,-73.9857633
1079,"Bronx","West 135 Street, Independence Avenue, West 232 Street","Seton Park","Yes","2018-07-03 15:40:38.382017","2018-07-03 15:40:38.382017",40.8165781,-73.94731159999999
1080,"Bronx","West 235 Street & Douglas Avenue","Seton Park Playground","No","2018-07-03 15:40:38.999208","2018-07-03 15:40:38.999208",40.8869086,-73.9165713
1081,"Manhattan","West 129 Street, Amsterdam Avenue","Sheltering Arms Park","Yes","2018-07-03 15:40:39.640668","2018-07-03 15:40:39.640668",40.8151225,-73.9549904
692,"Manhattan","62 ST, BET WEST & CENTER DRS","Central Park (Heckscher Playground)",,"2018-07-03 15:38:46.078764","2018-07-03 16:17:20.436182",40.759723,-73.95817199999999
723,"Brooklyn","Adams, Johnson, Fulton, Joralemon streets","Columbus Park","Yes","2018-07-03 15:38:59.502417","2018-07-03 16:17:25.744894",40.6921742,-73.98911919999999
1034,"Brooklyn","King, Richards, & Dwight Streets","Red Hook Park (Coffey Park Playground)","Yes","2018-07-03 15:40:13.997908","2018-07-03 16:18:13.669567",41.8643773,-70.7586673
1029,"Bronx","Randall Avenue, Castle Hill Avenue","Randall Playground","No","2018-07-03 15:40:13.823625","2018-07-03 16:20:04.263393",40.8188602,-73.847994
1031,"Queens","LIE, 99 Street & 62 Avenue","Real Good Park (Lie Playground)","Yes","2018-07-03 15:40:13.890434","2018-07-03 16:20:05.287559",40.735001,-73.85834299999999
1043,"Manhattan","West 124 Street & Riverside Drive","Riverside Park (Claremont)","Yes","2018-07-03 15:40:16.83519","2018-07-03 16:20:06.311603",40.8118401,-73.9631244
1030,"Brooklyn","52-53 streets, Fort Hamilton Parkway","Rappaport Playground","Yes","2018-07-03 15:40:13.855965","2018-07-03 16:22:41.347805",40.64919,-74.02199499999999
1035,"Queens","Fresh Pond Road, 63 Street, 59 Drive","Reiff Playground","Yes","2018-07-03 15:40:14.036718","2018-07-03 16:22:42.449112",40.7180155,-73.9011131
1040,"Bronx","Bailey Avenue, West Kingsbridge Road","Riverbend Playground","Yes","2018-07-03 15:40:16.710878","2018-07-03 16:22:42.985734",40.8731945,-73.90569719999999
1041,"Manhattan","Riverside Drive to Hudson River, West 59th Street to Clair Place","Riverside Park (Boat Basin)","No","2018-07-03 15:40:16.745078","2018-07-03 16:22:43.804141",40.8012339,-73.9723096
1042,"Manhattan","105th Street, next to Henry Hudson Parkway","Riverside Park (Café)","No","2018-07-03 15:40:16.79164","2018-07-03 16:22:44.281971",40.800165,-73.96656399999999
